rid,wave,sex_cnt,age_cnt
5e925496-8ac3-7c3d-a73e-f57e82700bea,1,Female,47
5e92549d-2530-eeda-b61e-efa5278c864e,1,Male,60
5e92548c-0288-4f66-8843-7ecaecc8687d,1,Female,71
5e92546a-5b8e-99e8-0442-73bfad9d2495,1,Male,30
5e9256f7-98fa-dcd5-f1b0-596c4fa7728d,1,Male,60
5e9256da-e2cc-afea-b8e8-b55c36e904ea,1,Female,39
5e9256a3-55c7-9e5c-d457-68f75ce2cee0,1,Male,69
5e925731-1067-f96f-3ed6-0fe2e04334fd,1,Male,64
5e925713-6024-dcc1-9719-67eec5203cbb,1,Female,67
5e925728-719a-dab4-0029-6f5a532930fe,1,Female,69
5e9257a0-a876-e990-d188-41ef424f7cb6,1,Male,5
5e9256f0-771a-ba59-97e9-1763fa798fa0,1,Male,10
5e925745-5833-87d3-a7b9-368ae2812d8e,1,Male,65
5e92570d-45b0-ed6f-bfe6-3cc2405ffcac,1,Female,70
5e92571d-7a0b-ffd7-15f8-ee5a3ac18f1c,1,Female,47
5e925774-e208-4fc6-c6f4-e0889c619549,1,Male,53
5e92571c-004b-82ac-4841-3dcc309c7a75,1,Female,65
5e925791-2ff7-1873-348a-5359e5dc9ddb,1,Female,29
5e925769-cf1f-f757-d601-a63b46a6a5f7,1,Female,34
5e9255fd-ac71-0c95-ae7b-b5db31706e26,1,Male,35
5e925705-4af2-db93-ed18-20df49684605,1,Female,80
5e92576b-c065-5612-9c50-915148d1a4d7,1,Male,51
5e92577a-4a91-181e-894e-67ecc2fad6ec,1,Male,51
5e9257d9-ceeb-8153-da94-08d7f0686770,1,Female,41
5e92579d-eabb-6ed2-68e6-ba00e31a70d6,1,Female,53
5e925791-87fc-ee02-266c-2c4503cf7fe8,1,Male,7
5e925741-3812-c6fa-f3f3-5142644836dd,1,Female,43
5e9257f0-c7db-34a8-f680-41f81f3e415f,1,Male,22
5e9257a4-cfd6-3725-8e03-11d936aec93d,1,Female,45
5e925766-6355-736d-450b-4212fb3b5d6d,1,Male,61
5e925561-1fa6-4606-10e8-6f0559aa8999,1,Male,61
5e925770-dd8a-a6cf-ce1c-b35669329e55,1,Female,73
5e925a42-bbcc-680b-eb87-74c8ccaf6b8d,1,Male,54
5e925d8b-4932-f5b3-0f2a-5d0a0d61418d,1,Female,20
5e925a36-bc63-70b4-a803-59c5401e89bc,1,Female,9
5e9263ad-9014-9cf9-18a1-3547e633909e,1,Male,12
5e9263cf-49e3-5a02-3674-03e18823799d,1,Male,11
5e92647b-56ae-9857-b70c-1873ffda8473,1,Female,57
5e926a95-28b7-86eb-e089-bfc4d00f8c56,1,Female,70
5e926a28-9ebc-40af-db1f-bf468eeda45b,1,Male,84
5e926c8b-5f35-40a1-7516-d9416aae25d5,1,Male,14
5e926efd-d09e-7b3c-19c9-b166be485d99,1,Male,50
5e95ce2e-e54b-9640-4aac-9d4ba9471fcd,1,Male,83
