rid,age,gender,wave,ethnicity,hispanic,educ
5e925496-8ac3-7c3d-a73e-f57e82700bea,19,Female,1,Other,0,High school graduate
5e92549d-2530-eeda-b61e-efa5278c864e,69,Female,1,White,0,Some college
5e92548c-0288-4f66-8843-7ecaecc8687d,40,Female,1,White,1,Some college
5e92546a-5b8e-99e8-0442-73bfad9d2495,30,Male,1,Black,0,College graduate
5e9256f7-98fa-dcd5-f1b0-596c4fa7728d,34,Female,1,White,0,Some college
5e9256da-e2cc-afea-b8e8-b55c36e904ea,49,Male,1,White,0,Some college
5e9256a3-55c7-9e5c-d457-68f75ce2cee0,68,Female,1,White,0,Some college
5e925731-1067-f96f-3ed6-0fe2e04334fd,66,Female,1,White,0,Some college
5e925741-3b7a-c3e2-35b2-bcda23b7e5b6,66,Female,1,White,0,Some college
5e925713-6024-dcc1-9719-67eec5203cbb,56,Male,1,White,0,College graduate
5e925728-719a-dab4-0029-6f5a532930fe,67,Male,1,White,0,College graduate
5e9257a0-a876-e990-d188-41ef424f7cb6,27,Female,1,Other,0,Some college
5e9256f0-771a-ba59-97e9-1763fa798fa0,33,Male,1,White,0,College graduate
5e92573d-fce9-f775-fcd1-26130c33f0b0,27,Male,1,White,1,High school graduate
5e925745-5833-87d3-a7b9-368ae2812d8e,59,Male,1,White,0,College graduate
5e92570d-45b0-ed6f-bfe6-3cc2405ffcac,70,Female,1,White,0,High school graduate
5e92571d-7a0b-ffd7-15f8-ee5a3ac18f1c,58,Male,1,White,0,High school graduate
5e925774-e208-4fc6-c6f4-e0889c619549,54,Female,1,Other,0,College graduate
5e92571c-004b-82ac-4841-3dcc309c7a75,72,Male,1,White,0,Some college
5e925791-2ff7-1873-348a-5359e5dc9ddb,54,Female,1,Black,0,Some college
5e9256b5-28ff-e640-59f6-42aa93deff03,36,Female,1,White,0,Some college
5e925769-cf1f-f757-d601-a63b46a6a5f7,35,Male,1,White,0,College graduate
5e9255fd-ac71-0c95-ae7b-b5db31706e26,43,Female,1,White,0,Some college
5e925754-6135-4ae8-0437-fabdf998c758,45,Female,1,White,0,Some college
5e925705-4af2-db93-ed18-20df49684605,56,Female,1,White,0,High school graduate
5e925761-effe-dd37-e8c0-6f849303b4fa,42,Female,1,Black,0,High school graduate
5e92576b-c065-5612-9c50-915148d1a4d7,46,Female,1,White,0,Non-high school graduate
5e92577a-4a91-181e-894e-67ecc2fad6ec,51,Female,1,White,0,College graduate
5e9257d9-ceeb-8153-da94-08d7f0686770,41,Male,1,White,0,Some college
5e925700-e164-5ea1-d6a6-e699b210d80e,27,Female,1,Other,1,College graduate
5e92579d-eabb-6ed2-68e6-ba00e31a70d6,47,Female,1,Other,1,Some college
5e925791-87fc-ee02-266c-2c4503cf7fe8,31,Female,1,Black,0,College graduate
5e925741-3812-c6fa-f3f3-5142644836dd,43,Female,1,White,0,Some college
5e9257f0-c7db-34a8-f680-41f81f3e415f,18,Female,1,White,0,Some college
5e9257a4-cfd6-3725-8e03-11d936aec93d,19,Female,1,Other,1,Some college
5e925766-6355-736d-450b-4212fb3b5d6d,56,Female,1,White,0,Some college
5e925561-1fa6-4606-10e8-6f0559aa8999,62,Female,1,White,0,College graduate
5e925770-dd8a-a6cf-ce1c-b35669329e55,39,Male,1,White,0,Some college
5e925a42-bbcc-680b-eb87-74c8ccaf6b8d,70,Male,1,White,0,College graduate
5e925d16-13a8-6c21-05d8-c34289e3e03a,29,Male,1,White,0,Some college
5e925d8b-4932-f5b3-0f2a-5d0a0d61418d,84,Male,1,Black,0,College graduate
5e925a36-bc63-70b4-a803-59c5401e89bc,39,Male,1,White,0,College graduate
5e9263ad-9014-9cf9-18a1-3547e633909e,37,Male,1,Black,0,College graduate
5e9263cf-49e3-5a02-3674-03e18823799d,49,Male,1,White,1,College graduate
5e92647b-56ae-9857-b70c-1873ffda8473,62,Male,1,White,0,Some college
5e9268c6-b2fe-5533-d0d8-79d0253c6e6f,22,Male,1,Other,0,College graduate
5e926a95-28b7-86eb-e089-bfc4d00f8c56,23,Male,1,White,0,Some college
5e926a28-9ebc-40af-db1f-bf468eeda45b,60,Male,1,White,0,Some college
